8800000|20000000
8800002|30000000
8800003|8000000
8800004|8000000
8800005|8000000
8800006|8000000
8800007|8000000
8800008|8000000
8800009|8000000
8800010|8000000
8810000|80000000
8810002|80000000
8810018|200000000
8820001|500000000
8500001|10000000
8510000|12000000
8520000|10000000
9400300|150000000
8840000|500000000
8840001|20000000
8840002|5000000
8850000|100000000
8850001|80000000
8850002|80000000
8850003|80000000
8850004|80000000
8850005|150000000
8850006|120000000
8850007|120000000
8850008|120000000
8850009|120000000
8850010|50000000
8850011|1500000000
